titulo,subtitulo,autor,data_publicacao,categoria,resumo,link,keywords_encontradas,score_relevancia,data_recolha
"Rússia lança vaga de mísseis sobre Kiev durante a madrugada","NATO convoca reunião de emergência após ataque","Ana Ferreira","2026-03-09T03:15:00","mundo","Forças russas lançaram uma vaga massiva de mísseis balísticos e drones sobre a capital ucraniana durante a madrugada. A defesa aérea ucraniana conseguiu abater grande parte dos projéteis, mas vários impactos foram registados em zonas residenciais. A NATO convocou de imediato uma reunião de emergência...","https://www.publico.pt/mundo/noticia/russia-misseis-kiev-nato-2026","bombardeamento, míssil, nato, rússia, ucrânia, guerra, tropas",87,2026-03-09T08:00:00
"China realiza maiores manobras militares de sempre em torno de Taiwan","Porta-aviões e submarinos cercam a ilha num exercício sem precedentes","Carlos Mendes","2026-03-08T18:30:00","mundo","O exército chinês iniciou as suas maiores manobras militares de sempre em torno de Taiwan, com porta-aviões, submarinos nucleares e caças a simular um bloqueio total à ilha. Os Estados Unidos responderam enviando dois porta-aviões para o Indo-Pacífico. Taipé declarou estado de alerta máximo...","https://www.publico.pt/mundo/noticia/china-taiwan-manobras-militares-2026","aliança militar, china, forças armadas, porta-aviões, submarino nuclear, taiwan, tensões",81,2026-03-09T08:05:00
"Irão anuncia que possui capacidade nuclear operacional","Regime diz ter ogivas prontas a usar; Israel ameaça resposta imediata","Mariana Costa","2026-03-07T12:00:00","mundo","O regime iraniano surpreendeu a comunidade internacional ao anunciar que possui ogivas nucleares operacionais. O anúncio gerou reações imediatas de Israel, que ameaçou com uma resposta militar preventiva. Os EUA e a União Europeia exigiram provas e convocaram o Conselho de Segurança da ONU...","https://www.publico.pt/mundo/noticia/irao-capacidade-nuclear-israel-2026","armas nucleares, conflito nuclear, guerra nuclear, irão, israel, ogiva nuclear",95,2026-03-09T08:10:00
"Coreia do Norte lança míssil balístico intercontinental sobre o Pacífico","Pyongyang desafia EUA e Japão com teste de longo alcance","João Silva","2026-03-06T09:45:00","mundo","A Coreia do Norte lançou um míssil balístico intercontinental que sobrevoou o Japão antes de cair no oceano Pacífico. O teste foi considerado o mais provocatório dos últimos anos. O Japão ativou os seus sistemas de defesa antimíssil e os EUA convocaram uma reunião urgente do Conselho de Segurança...","https://www.publico.pt/mundo/noticia/coreia-norte-missil-pacifico-2026","conflito armado, coreia do norte, coreia, míssil, provocação, tensões",74,2026-03-09T08:15:00
"Tropas russas avançam em nova ofensiva no leste da Ucrânia","Frente de batalha alarga-se no Donbass com uso de artilharia pesada","Sofia Rodrigues","2026-03-05T16:20:00","mundo","As forças russas lançaram uma nova ofensiva em larga escala no leste da Ucrânia, com avanços registados em vários pontos da frente no Donbass. O ataque foi acompanhado por intenso fogo de artilharia e uso de drones de reconhecimento. A Ucrânia pediu urgentemente mais munições aos aliados da NATO...","https://www.publico.pt/mundo/noticia/russia-ofensiva-donbass-ucrania-2026","artilharia, conflito armado, donbass, guerra, nato, ofensiva militar, rússia, tropas, ucrânia",83,2026-03-09T08:20:00
"EUA e China à beira de confronto direto no Mar do Sul da China","Navios de guerra dos dois países envolvidos em incidente naval","Pedro Alves","2026-03-04T11:10:00","mundo","Um incidente naval no Mar do Sul da China colocou navios de guerra americanos e chineses em confronto direto, com relatos de disparos de aviso e manobras agressivas. O incidente durou várias horas antes de ambas as partes recuarem. Analistas alertam que este tipo de confronto pode escalar rapidamente...","https://www.publico.pt/mundo/noticia/eua-china-confronto-mar-sul-china-2026","china, confronto, escalada, forças armadas, incidente, mar do sul da china, tensões",69,2026-03-09T08:25:00
"NATO ativa Artigo 5 pela primeira vez na história após ataque a membro","Aliança declara que ataque a país báltico constitui ataque a todos","Rita Santos","2026-03-03T20:00:00","mundo","A NATO ativou pela primeira vez na sua história o Artigo 5 do seu tratado fundador, após um ataque atribuído à Rússia contra infraestruturas críticas de um país báltico. A declaração significa que todos os membros da aliança consideram o ataque como dirigido a si próprios, abrindo caminho a uma resposta coletiva...","https://www.publico.pt/mundo/noticia/nato-artigo5-pais-baltico-russia-2026","aliança militar, conflito armado, declaração de guerra, estado de guerra, nato, rússia, terceira guerra",92,2026-03-09T08:30:00
"Sanções ocidentais à Rússia atingem novo patamar após escalada","UE e EUA bloqueiam acesso russo ao sistema financeiro internacional","Luís Figueiredo","2026-03-02T14:35:00","economia","A União Europeia e os Estados Unidos anunciaram um novo pacote de sanções contra a Rússia em resposta à escalada militar na Ucrânia. As medidas incluem o bloqueio total do acesso russo ao sistema financeiro internacional e a congelação de ativos de entidades estatais russas...","https://www.publico.pt/economia/noticia/sancoes-russia-ue-eua-2026","embargo, escalada, rússia, sanção, sanções, ucrânia",52,2026-03-09T08:35:00
"Israel intensifica operações em Gaza com novos bombardeamentos","Hospitais sobrecarregados; ONU alerta para catástrofe humanitária","Inês Carvalho","2026-03-01T09:00:00","mundo","As forças israelitas intensificaram as operações militares em Gaza com novos bombardeamentos em zonas densamente povoadas. Os hospitais da região estão sobrecarregados e a ONU alertou para uma catástrofe humanitária iminente. O Hamas recusou as condições do último acordo de cessar-fogo proposto...","https://www.publico.pt/mundo/noticia/israel-gaza-bombardeamentos-2026","bombardeamento, cessar-fogo, conflito armado, gaza, hamas, israel, ofensiva militar",78,2026-03-09T08:40:00
"Ciberataque de grande escala atinge infraestruturas críticas europeias","Suspeitas apontam para grupos ligados ao Estado russo","Miguel Teixeira","2026-02-28T17:50:00","tecnologia","Um ciberataque de grande escala atingiu infraestruturas críticas de vários países europeus, incluindo redes elétricas, sistemas de saúde e comunicações governamentais. As autoridades europeias apontam suspeitas para grupos de hackers com ligações ao Estado russo. A NATO convocou uma reunião sobre guerra híbrida...","https://www.publico.pt/tecnologia/noticia/ciberataque-europa-russia-nato-2026","ciberataque, cyber-ataque, guerra híbrida, nato, rússia, tensões",61,2026-03-09T08:45:00
